title,num_rooms,num_bedrooms,type_of_good,total_area,total_land_area,condition,latitude,longitude,city,region,features,url,price,Antenne parabolique,Ascenseur,Chambre rangement,Chauffage central,Cheminée,Climatisation,Concierge,Cuisine équipée,Double vitrage,Entre-seul,Four,Garage,Jardin,Machine à laver,Meublé,Micro-ondes,Piscine,Porte blindée,Réfrigérateur,Salon européen,Sécurité,Terrasse,Vue sur les montagnes,Vue sur mer
À vendre – Villa S4 avec piscine à El Menzah 5,,5,Maison,612,,,32.9606,10.52763,Cité El Menzah,,Jardin;Garage;Piscine,https://www.mubawab.tn/fr/a/8244867/%C3%A0-vendre-%E2%80%93-villa-s4-avec-piscine-%C3%A0-el-menzah-5,1800000,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False
À vendre une maison sur 3 niveaux,2,2,Maison,225,,Nouveau,36.876389,10.325278,La Marsa,La Marsa,Jardin;Terrasse,https://www.mubawab.tn/fr/a/8243998/%C3%A0-vendre-une-maison-sur-3-niveaux,480000,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
Villa neuve à vendre à Ariadh Djerba,4,3,Maison,130,400.0,Nouveau,33.866667,10.85,Houmt Souk,Houmt Souk,Jardin;Terrasse;Piscine;Réfrigérateur;Four;Machine à laver,https://www.mubawab.tn/fr/a/8245877/villa-neuve-%C3%A0-vendre-%C3%A0-ariadh-djerba,379000,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,False,True,False,False,True,False,False
Élégante villa de luxe à Hammamet avec piscine,3,3,Villa,340,,Nouveau,36.40108,10.61457,Hammamet,Hammamet,Jardin;Piscine;Cuisine équipée,https://www.mubawab.tn/fr/a/8203935/%C3%A9l%C3%A9gante-villa-de-luxe-%C3%A0-hammamet-avec-piscine,1150000,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
Appartement s2,1,2,Maison,98,,Nouveau,36.8493,11.0918,Kélibia,,Terrasse;Vue sur mer;Antenne parabolique;Climatisation,https://www.mubawab.tn/fr/a/8248986/appartement-s2,145000,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
Belle villa à vendre,1,3,Maison,200,,Nouveau,36.70107,10.16982,Cité El Hidhab,Fouchana,Jardin;Terrasse;Garage;Entre-seul;Porte blindée,https://www.mubawab.tn/fr/a/8249284/belle-villa-%C3%A0-vendre,370000,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,True,False,False,False,True,False,False
Vente villa sur 2 niv séparé avec un duplex a el menzah 5,6,4,Villa,250,525.0,Bon état,36.8625,10.19556,El Menzah 5,Ariana Ville,Jardin;Chauffage central,https://www.mubawab.tn/fr/a/8218994/vente-villa-sur-2-niv-s%C3%A9par%C3%A9-avec-un-duplex-a-el-menzah-5,1200000,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
A vendre villa à démolir de 905m² à 20 Mars,4,3,Villa,905,,À rénover,36.83017,10.13736,Le Bardo,Le Bardo,Jardin;Terrasse;Garage;Entre-seul,https://www.mubawab.tn/fr/a/8072150/a-vendre-villa-%C3%A0-d%C3%A9molir-de-905m%C2%B2-%C3%A0-20-mars,950000,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,True,False,False
Villa inachevée avec piscine à vendre Djerba,5,3,Maison,150,150.0,Nouveau,33.8075978,10.8451467,Djerba,Djerba,Garage;Vue sur les montagnes;Piscine;Double vitrage,https://www.mubawab.tn/fr/a/8178865/villa-inachev%C3%A9e-avec-piscine-%C3%A0-vendre-djerba,330000,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
Villa jumelée S4 avec jardin à La Soukra,5,4,Villa,305,,Bon état,36.883333,10.25,La Soukra,La Soukra,Jardin;Garage;Entre-seul;Climatisation;Chauffage central;Cuisine équipée;Four,https://www.mubawab.tn/fr/a/8250071/villa-jumel%C3%A9e-s4-avec-jardin-%C3%A0-la-soukra,850000,False,False,False,True,False,True,False,True,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
Villa à 500m de Marina Hammamet Yasmin,6,4,Villa,530,,Nouveau,36.40107999999999,10.61457,Hammamet Sud,Hammamet,Jardin;Terrasse;Garage;Vue sur mer;Piscine;Concierge;Meublé;Cuisine équipée,https://www.mubawab.tn/fr/a/8043351/villa-%C3%A0-500m-de-marina-hammamet-yasmin,960000,False,False,False,False,False,False,True,True,False,False,False,True,True,False,True,False,True,False,False,False,False,True,False,True
A Vendre Triplex à menzeh 6,3,3,Villa,230,,Bon état,36.8625,10.19556,Ariana,Ariana Ville,Jardin;Terrasse;Ascenseur;Concierge;Antenne parabolique;Climatisation;Chauffage central;Sécurité;Double vitrage;Porte blindée;Cuisine équipée,https://www.mubawab.tn/fr/a/7908067/a-vendre-triplex-%C3%A0-menzeh-6,520000,True,True,False,True,False,True,True,True,True,False,False,False,True,False,False,False,False,True,False,False,True,True,False,False
Prestigieuse Villa de 680 m² à chotrana II,1,5,Maison,680,,Nouveau,36.883333,10.25,Chotrana 2,La Soukra,Jardin;Terrasse;Garage;Piscine;Concierge;Chambre rangement;Antenne parabolique;Climatisation;Chauffage central;Sécurité;Double vitrage;Porte blindée;Cuisine équipée;Réfrigérateur;Four;Micro-ondes,https://www.mubawab.tn/fr/a/7411119/prestigieuse-villa-de-680-m%C2%B2-%C3%A0-chotrana-ii,2700000,True,False,True,True,False,True,True,True,True,False,True,True,True,False,False,True,True,True,True,False,True,True,False,False
Duplex inachevée a boumhel,3,3,Villa,400,,Bon état,36.57724,10.34246,Bou Mhel,Boumhel Bassatine,Jardin;Vue sur les montagnes;Piscine,https://www.mubawab.tn/fr/a/7898546/duplex-inachev%C3%A9e-a-boumhel,500000,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
Villa à La Marsa,5,4,Maison,320,,Bon état,36.876389,10.325278,Cité des Juges,La Marsa,Jardin;Terrasse;Garage;Chambre rangement;Salon européen;Climatisation;Chauffage central;Double vitrage;Porte blindée;Cuisine équipée,https://www.mubawab.tn/fr/a/7891494/villa-%C3%A0-la-marsa,980000,False,False,True,True,False,True,False,True,True,False,False,True,True,False,False,False,False,True,False,True,False,True,False,False
Maison à vendre Riadh 2 borj cedria,4,3,Maison,312,,Bon état,36.77228,10.22122,Ben Arous,Ben Arous,Terrasse;Garage;Climatisation;Chauffage central;Porte blindée;Cuisine équipée;Réfrigérateur;Four;Machine à laver;Micro-ondes,https://www.mubawab.tn/fr/a/7951534/maison-%C3%A0-vendre-riadh-2-borj-cedria,480000,False,False,False,True,False,True,False,True,False,False,True,True,False,True,False,True,False,True,True,False,False,True,False,False
Villa respect,5,3,Villa,145,,Nouveau,33.8075978,10.8451467,Djerba,Djerba,Jardin;Piscine;Cuisine équipée,https://www.mubawab.tn/fr/a/7894010/villa-respect,479856,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
Une Villa à Vendre,4,3,Villa,420,,Nouveau,36.876389,10.325278,Cité El Khalil,La Marsa,Jardin;Terrasse;Garage;Piscine;Climatisation;Chauffage central;Sécurité;Double vitrage;Cuisine équipée,https://www.mubawab.tn/fr/a/7958542/une-villa-%C3%A0-vendre,1150000,False,False,False,True,False,True,False,True,True,False,False,True,True,False,False,False,True,False,False,False,True,True,False,False
RDC et 1er ETAGE indépendant au centre ville,8,5,Maison,190,100.0,Bon état,36.79204457625508,10.177706315912893,Bab Jazira,Tunis,Terrasse;Entre-seul;Antenne parabolique;Cuisine équipée,https://www.mubawab.tn/fr/a/7958626/rdc-et-1er-etage-ind%C3%A9pendant-au-centre-ville,360000,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
A vendre Villa avec un étage à Cité Riadh1 Kélibia,10,6,Villa,350,,Nouveau,36.8493,11.0918,Kélibia,,Jardin;Cuisine équipée,https://www.mubawab.tn/fr/a/7954031/a-vendre-villa-avec-un-%C3%A9tage-%C3%A0-cit%C3%A9-riadh1-k%C3%A9libia,650000,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
A vendre une villa S5 à Cité Al Fetha Kélibia,6,5,Villa,250,,Nouveau,36.8493,11.0918,Kélibia,,Jardin;Terrasse;Garage;Climatisation;Chauffage central;Cuisine équipée,https://www.mubawab.tn/fr/a/7847217/a-vendre-une-villa-s5-%C3%A0-cit%C3%A9-al-fetha-k%C3%A9libia,650000,False,False,False,True,False,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False
"A vendre villa à la plage vue sur mer, Beni Khiar",5,4,Villa,350,,Bon état,36.47,10.78,Beni Khiar,Beni Khiar,Terrasse;Garage;Vue sur mer;Entre-seul;Climatisation;Chauffage central;Cuisine équipée,https://www.mubawab.tn/fr/a/7925652/a-vendre-villa-%C3%A0-la-plage-vue-sur-mer-beni-khiar,650000,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True
Vente villa de luxe vue mer à Marina Gammarth,5,3,Villa,330,,Bon état,36.876389,10.325278,Gammarth,La Marsa,Jardin;Terrasse;Garage;Ascenseur;Vue sur mer;Vue sur les montagnes;Concierge;Chambre rangement;Salon européen;Antenne parabolique;Climatisation;Chauffage central;Sécurité;Double vitrage;Porte blindée;Cuisine équipée,https://www.mubawab.tn/fr/a/7957833/vente-villa-de-luxe-vue-mer-%C3%A0-marina-gammarth,2800000,True,True,True,True,False,True,True,True,True,False,False,True,True,False,False,False,False,True,False,True,True,True,True,True
A Vendre Villa à jardin d'el Menzah 1,2,3,Maison,230,,Bon état,36.8625,10.19556,Les Jardins d'El Menzah 1,Ariana Ville,Jardin;Garage;Concierge;Climatisation;Chauffage central;Sécurité;Double vitrage;Porte blindée;Cuisine équipée,https://www.mubawab.tn/fr/a/7941331/a-vendre-villa-%C3%A0-jardin-d-el-menzah-1,630000,False,False,False,True,False,True,True,True,True,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False
A vendre villa moderne a la soukra,5,4,Villa,330,,Nouveau,36.88833000000001,10.27417,La Soukra,La Soukra,Jardin;Terrasse;Garage;Piscine;Concierge;Chambre rangement;Salon européen;Antenne parabolique;Climatisation;Chauffage central;Sécurité;Porte blindée,https://www.mubawab.tn/fr/a/7963777/a-vendre-villa-moderne-a-la-soukra,1100000,True,False,True,True,False,True,True,False,False,False,False,True,True,False,False,False,True,True,False,True,True,True,False,False
Villa s4 directement promoteur,4,4,Maison,450,,Nouveau,36.8805752,10.1717264,Riadh al Andalous,Ariana Ville,Jardin;Garage,https://www.mubawab.tn/fr/a/7963902/villa-s4-directement-promoteur,850000,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
Villa Borj louzir,10,7,Maison,300,,Bon état,36.872102665194426,10.210600227201214,Borj Louzir,La Soukra,Jardin;Terrasse;Garage;Chambre rangement;Antenne parabolique;Climatisation;Double vitrage;Porte blindée,https://www.mubawab.tn/fr/a/7888975/villa-borj-louzir,430000,True,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False
Belle maison à vendre,8,4,Maison,280,,Bon état,37.0075015,9.9465077,Utique,,Jardin;Terrasse;Garage;Chambre rangement;Meublé;Salon européen;Antenne parabolique;Climatisation;Double vitrage;Porte blindée;Cuisine équipée;Réfrigérateur;Four;Machine à laver;Micro-ondes,https://www.mubawab.tn/fr/a/7978950/belle-maison-%C3%A0-vendre,320000,True,False,True,False,False,True,False,True,True,False,True,True,True,True,True,True,False,True,True,True,False,True,False,False
Appartement à l'achat. Superficie 150 m²,,6,Maison,303,253.0,À rénover,37.0492511,10.966394500000002,Dar Châabane,,,https://www.mubawab.tn/fr/a/7979070/appartement-%C3%A0-l-achat-superficie-150-m%C2%B2,250000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Villa sunnyside,5,3,Villa,145,,Nouveau,33.8075978,10.8451467,Djerba,Djerba,Jardin;Piscine,https://www.mubawab.tn/fr/a/7805113/villa-sunnyside,477200,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
Villa rocca,6,3,Villa,240,,Nouveau,33.8075978,10.8451467,Djerba,Djerba,Jardin;Terrasse;Garage;Vue sur mer;Piscine;Chauffage central;Porte blindée;Cuisine équipée,https://www.mubawab.tn/fr/a/7894458/villa-rocca,739070,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,True,True,False,False,False,True,False,True
Duplex dans une résidence avec piscine zone Ribat,4,3,Maison,155,,Bon état,36.40108,10.61457,Hammamet,Hammamet,Terrasse;Garage;Piscine;Concierge;Chambre rangement;Salon européen;Antenne parabolique;Climatisation;Double vitrage;Porte blindée;Cuisine équipée,https://www.mubawab.tn/fr/a/7926315/duplex-dans-une-r%C3%A9sidence-avec-piscine-zone-ribat,480000,True,False,True,False,False,True,True,True,True,False,False,True,False,False,False,False,True,True,False,True,False,True,False,False
Maison de luxe à vendre à Route sokra. 4 belles chambres. Jardin et terrasse,5,4,Villa,350,,Bon état,34.72653894276804,10.730705173084312,Route sokra,Sfax Ville,Jardin;Terrasse;Garage;Chambre rangement;Antenne parabolique;Chauffage central;Sécurité;Cuisine équipée;Four;Machine à laver;Micro-ondes,https://www.mubawab.tn/fr/a/7574301/maison-de-luxe-%C3%A0-vendre-%C3%A0-route-sokra-4-belles-chambres-jardin-et-terrasse,410000,True,False,True,True,False,False,False,True,False,False,True,True,True,True,False,True,False,False,False,False,True,True,False,False
Vente Villa Tany S4 Hammamet nord,5,4,Villa,347,,Bon état,36.40108,10.61457,Hammamet Nord,Hammamet,Jardin;Terrasse;Garage;Piscine;Climatisation;Chauffage central,https://www.mubawab.tn/fr/a/7822619/vente-villa-tany-s4-hammamet-nord,1100000,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False
