title,price,location,area,num_rooms,num_bedrooms,num_baths,Type_de_bien,Surface_de_la_parcelle,Etat,Annees,Type_du_sol,Nombre_detages,features,latitude,longitude,url
Vente de maison à Riad El Andalous près d'Ariana,450 000 EUR,"Cité Ennasr 1 à
							Ariana Ville",250,8,5,,Maison,"650
								m²",Bon état,,Marbre,,Jardin;Terrasse;Garage;Chambre rangement;Meublé;Entre-seul;Salon européen;Antenne parabolique;Climatisation;Chauffage central;Sécurité;Double vitrage;Cuisine équipée;Réfrigérateur;Four;Machine à laver;Micro-ondes,36.8625,10.19556,https://www.mubawab.tn/fr/a/8249413/vente-de-maison-%C3%A0-riad-el-andalous-pr%C3%A8s-d-ariana
À vendre – Villa S4 avec piscine à El Menzah 5,1 800 000 TND,Cité El Menzah,612,,5,,Maison,,,,,,Jardin;Garage;Piscine,32.9606,10.52763,https://www.mubawab.tn/fr/a/8244867/%C3%A0-vendre-%E2%80%93-villa-s4-avec-piscine-%C3%A0-el-menzah-5
À vendre une maison sur 3 niveaux,480 000 TND,"La Marsa à
							La Marsa",225,2,2,,Maison,,Nouveau,,,,Jardin;Terrasse,36.876389,10.325278,https://www.mubawab.tn/fr/a/8243998/%C3%A0-vendre-une-maison-sur-3-niveaux
"À VENDRE, Maison neuve à Hammamet – Zone Théâtre",Prix à consulter,"Hammamet à
							Hammamet",360,5,4,,Villa,"603
								m²",Nouveau,,,,Jardin;Terrasse;Piscine;Chauffage central;Cuisine équipée,36.40108,10.61457,https://www.mubawab.tn/fr/a/8239441/%C3%A0-vendre-maison-neuve-%C3%A0-hammamet-%E2%80%93-zone-th%C3%A9%C3%A2tre
Villa S6 à vendre à La Cagna El Ouardia,Prix à consulter,"Lakanya à
							El Ouardia",317,7,6,,Villa,,À rénover,,,,Terrasse;Garage;Entre-seul,36.83561,10.21587,https://www.mubawab.tn/fr/a/8246417/villa-s6-%C3%A0-vendre-%C3%A0-la-cagna-el-ouardia
Villa neuve à vendre à Ariadh Djerba,379 000 TND,"Houmt Souk à
							Houmt Souk",130,4,3,,Maison,"400
								m²",Nouveau,,,,Jardin;Terrasse;Piscine;Réfrigérateur;Four;Machine à laver,33.866667,10.85,https://www.mubawab.tn/fr/a/8245877/villa-neuve-%C3%A0-vendre-%C3%A0-ariadh-djerba
Studio s1 terrain à vendre à Bhar Lazreg,Prix à consulter,"Bhar Lazreg à
							La Marsa",136,,1,,Maison,,À rénover,,,,,36.876389,10.325278,https://www.mubawab.tn/fr/a/8247697/studio-s1-terrain-%C3%A0-vendre-%C3%A0-bhar-lazreg
Villa individuelle en vente,1 440 000 TND,"Bouhssina à
							Sousse Ville",1050,,,,Villa,,,,,,,35.8212925,10.5967322,https://www.mubawab.tn/fr/a/8248219/villa-individuelle-en-vente
Élégante villa de luxe à Hammamet avec piscine,1 150 000 TND,"Hammamet à
							Hammamet",340,3,3,,Villa,,Nouveau,,,,Jardin;Piscine;Cuisine équipée,36.40108,10.61457,https://www.mubawab.tn/fr/a/8203935/%C3%A9l%C3%A9gante-villa-de-luxe-%C3%A0-hammamet-avec-piscine
Appartement s2,145 000 TND,Kélibia,98,1,2,,Maison,,Nouveau,,,,Terrasse;Vue sur mer;Antenne parabolique;Climatisation,36.8493,11.0918,https://www.mubawab.tn/fr/a/8248986/appartement-s2
Belle villa à vendre,370 000 TND,"Cité El Hidhab à
							Fouchana",200,1,3,,Maison,,Nouveau,,,,Jardin;Terrasse;Garage;Entre-seul;Porte blindée,36.70107,10.16982,https://www.mubawab.tn/fr/a/8249284/belle-villa-%C3%A0-vendre
